paper_id,collection,journal,source_md_path,doi,title,title_norm,authors,first_author_norm,year,bibtex,final_domain_id
paper_5178cab33fea,group1,group1,group1/820_811033784081186818_10.1007%2Fs10107-017-1149-0.fixed.md,10.1007/s10107-017-1149-0,Bilevel programming for generating discrete representations in multiobjective optimization,bilevel programming for generating discrete representations in multiobjective optimization,Gokhan Kirlik; Serpil Sayin,kirlik,2017.0,"@article{Kirlik_2017, title={Bilevel programming for generating discrete representations in multiobjective optimization}, volume={169}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-017-1149-0}, DOI={10.1007/s10107-017-1149-0}, number={2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Kirlik, Gokhan and Sayın, Serpil}, year={2017}, month=Apr, pages={585–604} }",13
paper_ecdff3770ad8,group1,group1,group1/820_811035380886274049_10.1007%2Fs10107-017-1143-6.fixed.md,10.1007/s10107-017-1143-6,Distributionally robust optimization with matrix moment constraints: Lagrange duality and cutting plane methods,distributionally robust optimization with matrix moment constraints lagrange duality and cutting plane methods,Huifu Xu; Yongchao Liu; Hailin Sun,xu,2017.0,"@article{Xu_2017, title={Distributionally robust optimization with matrix moment constraints: Lagrange duality and cutting plane methods}, volume={169}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-017-1143-6}, DOI={10.1007/s10107-017-1143-6}, number={2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Xu, Huifu and Liu, Yongchao and Sun, Hailin}, year={2017}, month=Apr, pages={489â€“529} }",23
paper_2e7433c7b4df,group1,group1,group1/820_811035528529969152_10.1007%2Fs10107-017-1141-8.fixed.md,10.1007/s10107-017-1141-8,Stochastic optimization using a trust-region method and random models,stochastic optimization using a trust region method and random models,R. Chen; M. Menickelly; K. Scheinberg,chen,2017.0,"@article{Chen_2017, title={Stochastic optimization using a trust-region method and random models}, volume={169}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-017-1141-8}, DOI={10.1007/s10107-017-1141-8}, number={2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Chen, R. and Menickelly, M. and Scheinberg, K.}, year={2017}, month=Apr, pages={447â€“487} }",18
paper_cfffca5bd50e,group1,group1,group1/820_811035973566595072_10.1007%2Fs10107-017-1136-5.fixed.md,10.1007/s10107-017-1136-5,Exact duals and short certificates of infeasibility and weak infeasibility in conic linear programming,exact duals and short certificates of infeasibility and weak infeasibility in conic linear programming,Minghui Liu; Gábor Pataki,liu,2017.0,"@article{Liu_2017, title={Exact duals and short certificates of infeasibility and weak infeasibility in conic linear programming}, volume={167}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-017-1136-5}, DOI={10.1007/s10107-017-1136-5}, number={2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Liu, Minghui and Pataki, Gábor}, year={2017}, month=Apr, pages={435–480} }",13
paper_18e0b8f04f4a,group1,group1,group1/820_811037854737104896_10.1007%2Fs10107-017-1139-2.fixed.md,10.1007/s10107-017-1139-2,Continuous relaxation for discrete DC programming,continuous relaxation for discrete dc programming,Takanori Maehara; Naoki Marumo; Kazuo Murota,maehara,2017.0,"@article{Maehara_2017, title={Continuous relaxation for discrete DC programming}, volume={169}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-017-1139-2}, DOI={10.1007/s10107-017-1139-2}, number={1}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Maehara, Takanori and Marumo, Naoki and Murota, Kazuo}, year={2017}, month=Apr, pages={199â€“219} }",13
paper_c347a63d0dac,group1,group1,group1/820_811038033854857218_10.1007%2Fs10107-017-1140-9.fixed.md,10.1007/s10107-017-1140-9,Matroid optimisation problems with nested non-linear monomials in the objective function,matroid optimisation problems with nested non linear monomials in the objective function,Anja Fischer; Frank Fischer; S. Thomas McCormick,fischer,2017.0,"@article{Fischer_2017, title={Matroid optimisation problems with nested non-linear monomials in the objective function}, volume={169}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-017-1140-9}, DOI={10.1007/s10107-017-1140-9}, number={2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Fischer, Anja and Fischer, Frank and McCormick, S. Thomas}, year={2017}, month=Apr, pages={417â€“446} }",2
paper_2002f9be40d0,group1,group1,group1/820_811038180877795329_10.1007%2Fs10107-017-1142-7.fixed.md,10.1007/s10107-017-1142-7,Piecewise static policies for two-stage adjustable robust linear optimization,piecewise static policies for two stage adjustable robust linear optimization,Omar El Housni; Vineet Goyal,housni,2017.0,"@article{El_Housni_2017, title={Piecewise static policies for two-stage adjustable robust linear optimization}, volume={169}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-017-1142-7}, DOI={10.1007/s10107-017-1142-7}, number={2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={El Housni, Omar and Goyal, Vineet}, year={2017}, month=Apr, pages={649â€“665} }",18
paper_7a9e3db7d79a,group1,group1,group1/820_811038238356537344_10.1007%2Fs10107-017-1137-4.fixed.md,10.1007/s10107-017-1137-4,Global convergence rate analysis of unconstrained optimization methods based on probabilistic models,global convergence rate analysis of unconstrained optimization methods based on probabilistic models,C. Cartis; K. Scheinberg,cartis,2017.0,"@article{Cartis_2017, title={Global convergence rate analysis of unconstrained optimization methods based on probabilistic models}, volume={169}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-017-1137-4}, DOI={10.1007/s10107-017-1137-4}, number={2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Cartis, C. and Scheinberg, K.}, year={2017}, month=Apr, pages={337â€“375} }",6
paper_da4e474e792a,group1,group1,group1/820_811040086442377223_10.1007%2Fbf03380133.fixed.md,10.1007/bf03380133,COMMENTS ON A NOTE BY AGGARWAL,comments on a note by aggarwal,Michael J. TODD,todd,1975.0,"@article{Todd_1976, title={Comments on a Note by Aggarwal}, volume={10}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/bf03380133}, DOI={10.1007/bf03380133}, number={1}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Todd, Michael J.}, year={1976}, month=Dec, pages={130â€“133} }",12
paper_fc395fcc961a,group1,group1,group1/820_811041625760333824_10.1007%2Fs10107-017-1133-8.fixed.md,10.1007/s10107-017-1133-8,Consistent learning by composite proximal thresholding,consistent learning by composite proximal thresholding,Patrick L. Combettes; Saverio Salzo; Silvia Villa,combettes,2017.0,"@article{Combettes_2017, title={Consistent learning by composite proximal thresholding}, volume={167}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-017-1133-8}, DOI={10.1007/s10107-017-1133-8}, number={1}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Combettes, Patrick L. and Salzo, Saverio and Villa, Silvia}, year={2017}, month=Mar, pages={99â€“127} }",6
paper_cdeb9275830e,group1,group1,group1/820_811041877066252289_10.1007%2Fs10107-017-1119-6.fixed.md,10.1007/s10107-017-1119-6,SAA-regularized methods for multiproduct price optimization under the pure characteristics demand model,saa regularized methods for multiproduct price optimization under the pure characteristics demand model,Hailin Sun; Che-Lin Su; Xiaojun Chen,sun,2017.0,"@article{Sun_2017, title={SAA-regularized methods for multiproduct price optimization under the pure characteristics demand model}, volume={165}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-017-1119-6}, DOI={10.1007/s10107-017-1119-6}, number={1}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Sun, Hailin and Su, Che-Lin and Chen, Xiaojun}, year={2017}, month=Mar, pages={361â€“389} }",2
paper_88213d3f7737,group1,group1,group1/820_811043691966758912_10.1007%2Fs10107-017-1135-6.fixed.md,10.1007/s10107-017-1135-6,Binary decision rules for multistage adaptive mixed-integer optimization,binary decision rules for multistage adaptive mixed integer optimization,Dimitris Bertsimas; Angelos Georghiou,bertsimas,2017.0,"@article{Bertsimas_2017, title={Binary decision rules for multistage adaptive mixed-integer optimization}, volume={167}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-017-1135-6}, DOI={10.1007/s10107-017-1135-6}, number={2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Bertsimas, Dimitris and Georghiou, Angelos}, year={2017}, month=Mar, pages={395â€“433} }",18
paper_3a9fd8b62f8d,group1,group1,group1/820_811043875232677888_10.1007%2Fs10107-017-1134-7.fixed.md,10.1007/s10107-017-1134-7,Maximum semidefinite and linear extension complexity of families of polytopes,maximum semidefinite and linear extension complexity of families of polytopes,Gennadiy Averkov; Volker Kaibel; Stefan Weltge,averkov,2017.0,"@article{Averkov_2017, title={Maximum semidefinite and linear extension complexity of families of polytopes}, volume={167}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-017-1134-7}, DOI={10.1007/s10107-017-1134-7}, number={2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Averkov, Gennadiy and Kaibel, Volker and Weltge, Stefan}, year={2017}, month=Mar, pages={381â€“394} }",15
paper_31a02ef73189,group1,group1,group1/820_811048291335667713_10.1007%2Fs10107-017-1132-9.fixed.md,10.1007/s10107-017-1132-9,Two-stage stochastic variational inequalities: an ERM-solution procedure,two stage stochastic variational inequalities an erm solution procedure,Xiaojun Chen; Ting Kei Pong; Roger J-B. Wets,chen,2017.0,"@article{Chen_2017, title={Two-stage stochastic variational inequalities: an ERM-solution procedure}, volume={165}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-017-1132-9}, DOI={10.1007/s10107-017-1132-9}, number={1}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Chen, Xiaojun and Pong, Ting Kei and Wets, Roger J-B.}, year={2017}, month=Mar, pages={71â€“111} }",4
paper_43c1f2250722,group1,group1,group1/820_811050519345758210_10.1007%2Fs10107-017-1123-x.fixed.md,10.1007/s10107-017-1123-x,Integral simplex using decomposition with primal cutting planes,integral simplex using decomposition with primal cutting planes,Samuel Rosat; Issmail Elhallaoui; François Soumis; Andrea Lodi,rosat,2017.0,"@article{Rosat_2017, title={Integral simplex using decomposition with primal cutting planes}, volume={166}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-017-1123-x}, DOI={10.1007/s10107-017-1123-x}, number={1-2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Rosat, Samuel and Elhallaoui, Issmail and Soumis, François and Lodi, Andrea}, year={2017}, month=Mar, pages={327–367} }",7
paper_bee7864efa03,group1,group1,group1/820_811052193888075780_10.1007%2Fs10107-017-1131-x.fixed.md,10.1007/s10107-017-1131-x,Quadratic two-stage stochastic optimization with coherent measures of risk,quadratic two stage stochastic optimization with coherent measures of risk,Jie Sun; Li-Zhi Liao; Brian Rodrigues,sun,2017.0,"@article{Sun_2017, title={Quadratic two-stage stochastic optimization with coherent measures of risk}, volume={168}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-017-1131-x}, DOI={10.1007/s10107-017-1131-x}, number={1-2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Sun, Jie and Liao, Li-Zhi and Rodrigues, Brian}, year={2017}, month=Mar, pages={599â€“613} }",18
paper_a37365137dc1,group1,group1,group1/820_811052886682238977_10.1007%2Fs10107-017-1130-y.fixed.md,10.1007/s10107-017-1130-y,On univariate function identification problems,on univariate function identification problems,Johannes O. Royset; Roger J.-B. Wets,royset,2017.0,"@article{Royset_2017, title={On univariate function identification problems}, volume={168}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-017-1130-y}, DOI={10.1007/s10107-017-1130-y}, number={1-2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Royset, Johannes O. and Wets, Roger J.-B.}, year={2017}, month=Mar, pages={449â€“474} }",10
paper_ee9a17fb65ce,group1,group1,group1/820_811052992953319425_10.1007%2Fs10107-017-1129-4.fixed.md,10.1007/s10107-017-1129-4,Perturbation of error bounds,perturbation of error bounds,A. Y. Kruger; M. A. López; M. A. Théra,kruger,2017.0,"@article{Kruger_2017, title={Perturbation of error bounds}, volume={168}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-017-1129-4}, DOI={10.1007/s10107-017-1129-4}, number={1-2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Kruger, A. Y. and López, M. A. and Théra, M. A.}, year={2017}, month=Mar, pages={533–554} }",4
paper_89000003dc41,group1,group1,group1/820_811054423169040385_10.1007%2Fs10107-017-1128-5.fixed.md,10.1007/s10107-017-1128-5,Critical solutions of nonlinear equations: local attraction for Newton-type methods,critical solutions of nonlinear equations local attraction for newton type methods,A. F. Izmailov; A. S. Kurennow; M. V. Solodov,izmailov,2017.0,"@article{Izmailov_2017, title={Critical solutions of nonlinear equations: local attraction for Newton-type methods}, volume={167}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-017-1128-5}, DOI={10.1007/s10107-017-1128-5}, number={2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Izmailov, A. F. and Kurennoy, A. S. and Solodov, M. V.}, year={2017}, month=Mar, pages={355â€“379} }",6
paper_daf92524af29,group1,group1,group1/820_811054577217437696_10.1007%2Fs10107-017-1124-9.fixed.md,10.1007/s10107-017-1124-9,A structure-preserving pivotal method for affine variational inequalities,a structure preserving pivotal method for affine variational inequalities,Youngdae Kim; Olivier Huber; Michael C. Ferris,kim,2017.0,"@article{Kim_2017, title={A structure-preserving pivotal method for affine variational inequalities}, volume={168}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-017-1124-9}, DOI={10.1007/s10107-017-1124-9}, number={1-2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Kim, Youngdae and Huber, Olivier and Ferris, Michael C.}, year={2017}, month=Mar, pages={93â€“121} }",4
paper_0fee95b78706,group1,group1,group1/820_811055120346251266_10.1007%2Fs10107-017-1127-6.fixed.md,10.1007/s10107-017-1127-6,Symmetric sums of squares over k-subset hypercubes,symmetric sums of squares over k subset hypercubes,Annie Raymond; James Saunderson; Mohit Singh; Rekha R. Thomas,raymond,2017.0,"@article{Raymond_2017, title={Symmetric sums of squares over k-subset hypercubes}, volume={167}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-017-1127-6}, DOI={10.1007/s10107-017-1127-6}, number={2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Raymond, Annie and Saunderson, James and Singh, Mohit and Thomas, Rekha R.}, year={2017}, month=Mar, pages={315â€“354} }",15
paper_355b7aecc03e,group1,group1,group1/820_811056799988842496_10.1007%2Fs10107-017-1126-7.fixed.md,10.1007/s10107-017-1126-7,Chain-constrained spanning trees,chain constrained spanning trees,Neil Olver; Rico Zenklusen,olver,2017.0,"@article{Olver_2017, title={Chain-constrained spanning trees}, volume={167}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-017-1126-7}, DOI={10.1007/s10107-017-1126-7}, number={2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Olver, Neil and Zenklusen, Rico}, year={2017}, month=Feb, pages={293â€“314} }",21
paper_9fdaff1fe6a8,group1,group1,group1/820_811057252789125121_10.1007%2Fs10107-017-1125-8.fixed.md,10.1007/s10107-017-1125-8,Data-driven robust optimization,data driven robust optimization,Dimitris Bertsimas; Vishal Gupta; Nathan Kallus,bertsimas,2017.0,"@article{Bertsimas_2017, title={Data-driven robust optimization}, volume={167}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-017-1125-8}, DOI={10.1007/s10107-017-1125-8}, number={2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Bertsimas, Dimitris and Gupta, Vishal and Kallus, Nathan}, year={2017}, month=Feb, pages={235â€“292} }",2
paper_263a30a909f9,group1,group1,group1/820_811063544018632706_10.1007%2Fs10107-017-1116-9.fixed.md,10.1007/s10107-017-1116-9,Quantitative stability analysis of stochastic quasi-variational inequality problems and applications,quantitative stability analysis of stochastic quasi variational inequality problems and applications,Jie Zhang; Huifu Xu; Liwei Zhang,zhang,2017.0,"@article{Zhang_2017, title={Quantitative stability analysis of stochastic quasi-variational inequality problems and applications}, volume={165}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-017-1116-9}, DOI={10.1007/s10107-017-1116-9}, number={1}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Zhang, Jie and Xu, Huifu and Zhang, Liwei}, year={2017}, month=Feb, pages={433â€“470} }",4
paper_ef60708656bd,group1,group1,group1/820_811065153003978752_10.1007%2Fs10107-017-1114-y.fixed.md,10.1007/s10107-017-1114-y,"Folded concave penalized sparse linear regression: sparsity, statistical performance, and algorithmic theory for local solutions",folded concave penalized sparse linear regression sparsity statistical performance and algorithmic theory for local solutions,Hongcheng Liu; Tao Yao; Runze Li; Yinyu Ye,liu,2017.0,"@article{Liu_2017, title={Folded concave penalized sparse linear regression: sparsity, statistical performance, and algorithmic theory for local solutions}, volume={166}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-017-1114-y}, DOI={10.1007/s10107-017-1114-y}, number={1-2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Liu, Hongcheng and Yao, Tao and Li, Runze and Ye, Yinyu}, year={2017}, month=Feb, pages={207â€“240} }",6
paper_1b84b7f29a2f,group1,group1,group1/820_811065198596063232_10.1007%2Fs10107-017-1120-0.fixed.md,10.1007/s10107-017-1120-0,Realizability and inscribability for simplicial polytopes via nonlinear optimization,realizability and inscribability for simplicial polytopes via nonlinear optimization,Moritz Firsching,firsching,2017.0,"@article{Firsching_2017, title={Realizability and inscribability for simplicial polytopes via nonlinear optimization}, volume={166}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-017-1120-0}, DOI={10.1007/s10107-017-1120-0}, number={1-2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Firsching, Moritz}, year={2017}, month=Feb, pages={273â€“295} }",15
paper_412f8a00aad3,group1,group1,group1/820_811065274018037761_10.1007%2Fs10107-017-1121-z.fixed.md,10.1007/s10107-017-1121-z,Stochastic second-order-cone complementarity problems: expected residual minimization formulation and its applications,stochastic second order cone complementarity problems expected residual minimization formulation and its applications,Gui-Hua Lin; Mei-Ju Luo; Dali Zhang; Jin Zhang,lin,2017.0,"@article{Lin_2017, title={Stochastic second-order-cone complementarity problems: expected residual minimization formulation and its applications}, volume={165}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-017-1121-z}, DOI={10.1007/s10107-017-1121-z}, number={1}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Lin, Gui-Hua and Luo, Mei-Ju and Zhang, Dali and Zhang, Jin}, year={2017}, month=Feb, pages={197â€“233} }",22
paper_1c9746c97609,group1,group1,group1/820_811065306737803264_10.1007%2Fs10107-017-1117-8.fixed.md,10.1007/s10107-017-1117-8,On imposing connectivity constraints in integer programs,on imposing connectivity constraints in integer programs,Yiming Wang; Austin Buchanan; Sergiy Butenko,wang,2017.0,,5
paper_d0ebea365011,group1,group1,group1/820_811065622367567872_10.1007%2Fs10107-017-1115-x.fixed.md,10.1007/s10107-017-1115-x,Round-robin tournaments generated by the Circle Method have maximum carry-over,round robin tournaments generated by the circle method have maximum carry over,Erik Lambrechts; Annette M. C. Ficker; Dries R. Goossens; Frits C. R. Spieksma,lambrechts,2017.0,"@article{Lambrechts_2017, title={Round-robin tournaments generated by the Circle Method have maximum carry-over}, volume={172}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-017-1115-x}, DOI={10.1007/s10107-017-1115-x}, number={1-2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Lambrechts, Erik and Ficker, Annette M. C. and Goossens, Dries R. and Spieksma, Frits C. R.}, year={2017}, month=Feb, pages={277–302} }",21
