community_id,community_size,top_keywords,representative_papers,high_impact_papers
45,3,polyhedra; group; problems; dual; row; modules,paper_ffd58123b694; paper_258cb275990b; paper_3e584f5cfbe7,paper_ffd58123b694; paper_258cb275990b; paper_3e584f5cfbe7
46,3,complementarity; algorithm; economic; model; short; rotation,paper_e97dc2925205; paper_4aa9d04d30c0; paper_c851c99227c6,paper_e97dc2925205; paper_4aa9d04d30c0; paper_c851c99227c6
47,3,generalized; theorems; permanent; basic; nonbasic; variables,paper_a4e11d33f372; paper_5b3ff7f6fea1; paper_eafb13587486,paper_a4e11d33f372; paper_5b3ff7f6fea1; paper_eafb13587486
48,3,interior; affine; scaling; point; minimization; cbb,paper_9d960478f01a; paper_0dd89802790d; paper_ad9a903e131a,paper_9d960478f01a; paper_0dd89802790d; paper_ad9a903e131a
49,3,multicommodity; flow; problems; transportation; problem; combinatorial,paper_5ec029e20a7f; paper_ab89424b26d0; paper_31c18e53a16f,paper_5ec029e20a7f; paper_ab89424b26d0; paper_31c18e53a16f
50,3,global; optimization; convergence; qualification; adaptive; partition,paper_d68e19a68e25; paper_46897fdbfb8c; paper_2f0fd748502a,paper_d68e19a68e25; paper_46897fdbfb8c; paper_2f0fd748502a
51,3,flow; circulation; sharing; problem; improved; version,paper_40fe5a5c4e43; paper_5484d8d32fc1; paper_1be2118af06d,paper_40fe5a5c4e43; paper_5484d8d32fc1; paper_1be2118af06d
52,3,problem; rounding; algorithms; covering; problems; heuristics,paper_c4d62016aac6; paper_92e7969e699a; paper_f8126df85089,paper_c4d62016aac6; paper_92e7969e699a; paper_f8126df85089
53,3,finite; quadratic; procedure; determining; form; bounded,paper_7bad363db6f2; paper_b08c4aedf2ff; paper_064a0227590a,paper_7bad363db6f2; paper_b08c4aedf2ff; paper_064a0227590a
54,3,matching; optimum; forests; weights; special; iii,paper_65f05749f252; paper_399270e1d768; paper_18428e975f93,paper_65f05749f252; paper_399270e1d768; paper_18428e975f93
55,3,shapiro; results; quasidifferential; calculus; constraint; qualifications,paper_a2aebd60d43c; paper_cad248fc4f8f; paper_b6f21b17ac55,paper_a2aebd60d43c; paper_cad248fc4f8f; paper_b6f21b17ac55
56,3,constraint; convex; simple; qualification; programming; saddle,paper_0e1ebf914212; paper_31eccbfbe869; paper_177e546f8188,paper_0e1ebf914212; paper_31eccbfbe869; paper_177e546f8188
57,3,linear; overrelaxation; symmetric; complementarity; problem; computational,paper_cd583f52f58b; paper_2923389b89c6; paper_8ba5e7fb09c0,paper_cd583f52f58b; paper_2923389b89c6; paper_8ba5e7fb09c0
58,3,geometric; condensation; programming; some; remarks; programs,paper_92315ac20183; paper_347367f4a3af; paper_c9e08349fbef,paper_92315ac20183; paper_347367f4a3af; paper_c9e08349fbef
59,3,flows; hypergraphs; characterizing; consistency; probabilistic; logic,paper_e10fb7349d00; paper_3e2300a995d3; paper_21e1d010bcd9,paper_e10fb7349d00; paper_3e2300a995d3; paper_21e1d010bcd9
60,3,scalings; theorem; matrices; optimal; conforming; decomposition,paper_f39d03e64186; paper_cbd17f98c2be; paper_c3d9bed931a0,paper_f39d03e64186; paper_cbd17f98c2be; paper_c3d9bed931a0
61,2,chain; constrained; spanning; trees; approximating; min,paper_01f388b151a5; paper_355b7aecc03e,paper_01f388b151a5; paper_355b7aecc03e
62,2,imposing; connectivity; constraints; integer; programs; algorithmic,paper_e3f45c45294d; paper_1c9746c97609,paper_e3f45c45294d; paper_1c9746c97609
63,2,intersection; theorems; polytopes; set; theorem; applications,paper_3cd8ad3ecf24; paper_1b1ea581ad16,paper_3cd8ad3ecf24; paper_1b1ea581ad16
64,2,superlinear; convergence; iterates; primal; dual; interior,paper_610cab5fd6bf; paper_6ec2c7b95633,paper_610cab5fd6bf; paper_6ec2c7b95633
65,2,verifiable; sufficient; conditions; sparse; signal; recovery,paper_09dd0dfe1df7; paper_e772a71500f7,paper_09dd0dfe1df7; paper_e772a71500f7
66,2,branching; branch; price; generic; scheme; comparison,paper_caf57c0f2525; paper_0deb53dfa4f1,paper_caf57c0f2525; paper_0deb53dfa4f1
67,2,implicit; function; theorem; newton; generalized; equations,paper_23d850009185; paper_7c569761f3e0,paper_23d850009185; paper_7c569761f3e0
68,2,interior; constrained; asymptotic; expansions; penalty; solutions,paper_f8362d434d37; paper_a23fe1aac471,paper_f8362d434d37; paper_a23fe1aac471
69,2,multicommodity; fast; deterministic; approximation; flow; problem,paper_4097bfd57736; paper_bf8320c19c25,paper_4097bfd57736; paper_bf8320c19c25
70,2,two; applications; divide; conquer; principle; molecular,paper_e9aecbcf302e; paper_58f209d0c9f3,paper_e9aecbcf302e; paper_58f209d0c9f3
71,2,functions; infinite; subdifferentials; value; optimality; conditions,paper_0780dcf339fd; paper_a8756c0d47cf,paper_0780dcf339fd; paper_a8756c0d47cf
72,2,general; model; matroids; greedy; algorithm; submodular,paper_d8d4c9ced936; paper_1f785d634104,paper_d8d4c9ced936; paper_1f785d634104
73,2,games; totally; balanced; arising; controlled; programming,paper_68284fc78351; paper_8e39276c0a14,paper_68284fc78351; paper_8e39276c0a14
74,2,revisiting; augmented; lagrangian; duals; epsilon; optimal,paper_2ab40b83c304; paper_e8f25283bad5,paper_2ab40b83c304; paper_e8f25283bad5
75,2,programming; linear; transient; policies; discrete; dynamic,paper_42148e8ec6c5; paper_aed8471482bf,paper_42148e8ec6c5; paper_aed8471482bf
76,2,convergence; theorem; rosen; gradient; projection; optimization,paper_6eaa71045909; paper_4b112595e2a9,paper_6eaa71045909; paper_4b112595e2a9
77,2,vector; theorem; duality; optimization; alternative; key,paper_010c347aabba; paper_f40ec1a68b84,paper_010c347aabba; paper_f40ec1a68b84
78,2,ellipsoid; programming; class; rank; two; algorithms,paper_f9976da70288; paper_ec74039d9a0f,paper_f9976da70288; paper_ec74039d9a0f
79,2,programming; sensitivity; bounds; data; linear; tolerance,paper_1198ec414705; paper_050488965000,paper_1198ec414705; paper_050488965000
80,2,duality; generalized; linear; fractional; programming; crouzeix,paper_db7c944246dc; paper_ebf8e451791a,paper_db7c944246dc; paper_ebf8e451791a
81,2,mathematics; subject; classification; packing; partitioning; orbitopes,paper_f6e7b2269df0; paper_f690d2a3048e,paper_f6e7b2269df0; paper_f690d2a3048e
82,2,stage; two; stochastic; hierarchical; multiple; risk,paper_db3453f57485; paper_c990a8d8ed31,paper_db3453f57485; paper_c990a8d8ed31
83,2,median; large; class; facets; polytope; polyhedral,paper_486d6ab15e42; paper_bcb0815bb737,paper_486d6ab15e42; paper_bcb0815bb737
84,2,data; robust; driven; optimization; solutions; linear,paper_552dfc0e51fc; paper_9fdaff1fe6a8,paper_552dfc0e51fc; paper_9fdaff1fe6a8
85,2,optimization; robustification; unconstrained; quadratic; approximation; technique,paper_e359b9d2c17e; paper_4fddfc6ad7a6,paper_e359b9d2c17e; paper_4fddfc6ad7a6
86,2,integer; programming; convex; intersection; cuts; outer,paper_8851ed2fc7a5; paper_bb2998f4594b,paper_8851ed2fc7a5; paper_bb2998f4594b
87,2,matroid; intersection; algorithms; boolean; sublattices; connected,paper_97d463e36677; paper_be36f682f131,paper_97d463e36677; paper_be36f682f131
88,2,efficient; barrier; functions; algorithm; minimizing; penalty,paper_ca82507c34ed; paper_268df604dec2,paper_ca82507c34ed; paper_268df604dec2
89,2,polyhedral; annexation; mixedinteger; combinatorial; programming; results,paper_5adef7cc3627; paper_0d1b5d3c264b,paper_5adef7cc3627; paper_0d1b5d3c264b
90,2,linear; pivot; probe; algorithm; solving; program,paper_369e089113ee; paper_e932b34303e6,paper_369e089113ee; paper_e932b34303e6
91,2,ergodicity; symmetric; mathematical; programs; solving; optimization,paper_874b901cbde9; paper_72ecc6e64e75,paper_874b901cbde9; paper_72ecc6e64e75
92,2,optimizing; functions; which; defined; process; part,paper_eee7709567d4; paper_771a0da3e9bb,paper_eee7709567d4; paper_771a0da3e9bb
93,2,polytopes; least; distance; scheme; finding; simplicial,paper_5a6eb140442b; paper_3239f2e6d5a3,paper_5a6eb140442b; paper_3239f2e6d5a3
94,2,problem; design; centering; computing; global; optimal,paper_74843792d0fa; paper_35a8b645bfcf,paper_74843792d0fa; paper_35a8b645bfcf
95,2,partitions; into; odd; chains; generalized; edge,paper_dfb9f5356b61; paper_2f1e61a7d94f,paper_dfb9f5356b61; paper_2f1e61a7d94f
96,2,least; element; property; center; location; tree,paper_e322a0563597; paper_4e2873de83f0,paper_e322a0563597; paper_4e2873de83f0
97,2,knapsack; problem; resolution; comparison; algorithm,paper_f24e26b4f4b6; paper_b4334a4a01de,paper_f24e26b4f4b6; paper_b4334a4a01de
98,2,programming; feasible; direction; stochastic; problems; nonlinear,paper_5fbdfa59b7d5; paper_85487e82d76c,paper_5fbdfa59b7d5; paper_85487e82d76c
99,2,traveling; salesman; problem; pickup; delivery; polyhedral,paper_eda2f6ab3566; paper_318981d0c6f9,paper_eda2f6ab3566; paper_318981d0c6f9
100,2,implicit; function; theorems; mathematical; programming; systems,paper_88b301375f53; paper_4f5e09337b48,paper_88b301375f53; paper_4f5e09337b48
101,2,game; single; controller; stochastic; stationary; equilibria,paper_ac069a58e2f9; paper_150021dce0e0,paper_ac069a58e2f9; paper_150021dce0e0
102,2,modified; secant; unconstrained; minimization; succession; column,paper_78fd7ced095f; paper_c3bf1209348a,paper_78fd7ced095f; paper_c3bf1209348a
103,2,multicommodity; computational; experience; difficult; mixed; integer,paper_22abc30ce493; paper_b335810c7116,paper_22abc30ce493; paper_b335810c7116
104,2,broyden; hilbert; space; approximate; quasi; newton,paper_2e97c322aa83; paper_cbe3af30509f,paper_2e97c322aa83; paper_cbe3af30509f
105,2,optimal; wire; ordering; spacing; low; power,paper_442b5a918680; paper_6e644015def5,paper_442b5a918680; paper_6e644015def5
106,2,various; definitions; derivative; mathematical; programming; short,paper_cc2a4e4fb3f8; paper_1a559f359321,paper_cc2a4e4fb3f8; paper_1a559f359321
107,2,step; toward; probabilistic; simplex; convergence; solution,paper_aebdd4a07770; paper_ef7eb94dcb63,paper_aebdd4a07770; paper_ef7eb94dcb63
108,1,two; stage; non; cooperative; games; risk,paper_796d2ee30c31,paper_796d2ee30c31
109,1,visualizing; data; objects; difference; convex; optimization,paper_041ed5543f05,paper_041ed5543f05
110,1,critical; multipliers; variational; systems; second; order,paper_f51c917321a3,paper_f51c917321a3
111,1,integer; mixed; reformulations; programs; affine; dimension,paper_76bdbdc33292,paper_76bdbdc33292
112,1,continuous; relaxation; discrete; programming,paper_18e0b8f04f4a,paper_18e0b8f04f4a
113,1,comments; note; aggarwal,paper_da4e474e792a,paper_da4e474e792a
114,1,consistent; learning; composite; proximal; thresholding,paper_fc395fcc961a,paper_fc395fcc961a
115,1,saa; regularized; multiproduct; price; optimization; pure,paper_cdeb9275830e,paper_cdeb9275830e
116,1,quadratic; two; stage; stochastic; optimization; coherent,paper_bee7864efa03,paper_bee7864efa03
117,1,univariate; function; identification; problems,paper_a37365137dc1,paper_a37365137dc1
118,1,structure; preserving; pivotal; affine; variational; inequalities,paper_daf92524af29,paper_daf92524af29
119,1,round; robin; tournaments; generated; circle; have,paper_d0ebea365011,paper_d0ebea365011
120,1,improved; algorithm; minimization; problem,paper_2e03703e6eac,paper_2e03703e6eac
121,1,convex; ndsted; rockafellar; theorem; lower; semicontinuous,paper_b1527c522ef1,paper_b1527c522ef1
122,1,capacities; quantum; channels; how; find; them,paper_9413a394a8a2,paper_9413a394a8a2
123,1,classes; fast; lower; bounds; bin; packing,paper_69c5e3d12c23,paper_69c5e3d12c23
124,1,optimization; forestry,paper_b497c998f389,paper_b497c998f389
125,1,probabilistic; measure; combinatorial; complexity; central; curve,paper_aa0ebd9cc768,paper_aa0ebd9cc768
126,1,models; algorithms; dimensional; cell; suppression; problem,paper_50fe225ce4e4,paper_50fe225ce4e4
127,1,box; inequalities; quadratic; assignment; polytopes,paper_1ffa68dee0d6,paper_1ffa68dee0d6
128,1,polynomial; case; unconstrained; zero; one; quadratic,paper_45d66ef4951b,paper_45d66ef4951b
129,1,multi; exchange; neighborhood; structures; capacitated; minimum,paper_68d8708f6e87,paper_68d8708f6e87
130,1,primal; dual; predicted; decrease; approximation,paper_bc47d702a10d,paper_bc47d702a10d
131,1,condition; number; complexity; elementary; algorithm; computing,paper_1af4f2c436d1,paper_1af4f2c436d1
132,1,valid; inequalities; problems; additive; variable; upper,paper_6b8853acd844,paper_6b8853acd844
133,1,properties; moreau; yosida; regularization; piecewise; convex,paper_1c1eee765cd9,paper_1c1eee765cd9
134,1,self; concordant; barriers; hyperbolic; means,paper_d15995c1e17b,paper_d15995c1e17b
135,1,smooth; multipliers; complementarity; problems,paper_acfe1d90a549,paper_acfe1d90a549
136,1,how; compute; volume; high; dimension,paper_597dfdbf7573,paper_597dfdbf7573
137,1,necessary; conditions; optimal; control,paper_d3749a2799fa,paper_d3749a2799fa
138,1,restricted; factor; polytopes,paper_f0b691db9dc8,paper_f0b691db9dc8
139,1,mathematics; eigenvalue; optimization,paper_b42a194747c6,paper_b42a194747c6
140,1,separation; maximally; violated; mod; cuts,paper_dffcc6b43358,paper_dffcc6b43358
141,1,dual; conditions; characterizing; optimality; convex; multi,paper_674af8df5533,paper_674af8df5533
142,1,approximation; schemes; hard; geometric; optimization; problems,paper_5427abd38eef,paper_5427abd38eef
143,1,errata; semidefinite; linear; complementarity; problems,paper_2c189f818aa6,paper_2c189f818aa6
144,1,deep; shallow; very; cuts; analytic; center,paper_6e6e9b3f5722,paper_6e6e9b3f5722
145,1,entropic; proximal; decomposition; convex; programs; variational,paper_5872ec489397,paper_5872ec489397
146,1,characterization; smoothness; curvature; marginal; function; trust,paper_ff9ef52e0aa3,paper_ff9ef52e0aa3
147,1,non; interior; predictor; corrector; path; following,paper_cfed26503384,paper_cfed26503384
148,1,implementing; dantzig; fulkerson; johnson; algorithm; large,paper_885b8d49237f,paper_885b8d49237f
149,1,completeness; some; matrix; classification; problems,paper_1bffce9e4ac4,paper_1bffce9e4ac4
150,1,look; smoothing; newton; nonlinear; complementarity; problems,paper_eb437301589c,paper_eb437301589c
151,1,improving; robustness; descent; semismooth; equations; proximal,paper_397a955e71b4,paper_397a955e71b4
152,1,trails; recognition; complexity; approximations,paper_63edfcf2c7f1,paper_63edfcf2c7f1
153,1,outer; approximate; subdifferential; piecewise; affine; optimization,paper_ce72188821d4,paper_ce72188821d4
154,1,unified; error; bounds; structured; convex; optimization,paper_a55637910031,paper_a55637910031
155,1,nonlinear; programming; algorithms; trust; regions; augmented,paper_9493e2e89ee4,paper_9493e2e89ee4
156,1,necessary; optimality; conditions; exact; penalization; non,paper_737830670d31,paper_737830670d31
157,1,fresh; look; mixed; binary; qps; formulations,paper_e61b9c0fa12f,paper_e61b9c0fa12f
158,1,bilinear; assignment; problem; complexity; polynomially; solvable,paper_f42baf0be89a,paper_f42baf0be89a
159,1,abstract; model; branching; its; application; mixed,paper_20df283017af,paper_20df283017af
160,1,semidefinite; programming; cross; intersection; problem; measures,paper_ab1ff3845c2e,paper_ab1ff3845c2e
161,1,solving; conic; systems; projection; rescaling,paper_149f8f966b20,paper_149f8f966b20
162,1,unbounded; sum; squares; hierarchy; integrality; gap,paper_f65616972a6a,paper_f65616972a6a
163,1,existence; relaxation; subdifferential; inclusions; unbounded; perturbation,paper_e884a6ab3a69,paper_e884a6ab3a69
164,1,matching; problem; has; small; symmetric; sdp,paper_59c57f8f2e75,paper_59c57f8f2e75
165,1,revisiting; sum; optimization,paper_90077a85a4ed,paper_90077a85a4ed
166,1,probably; certifiably; correct; means; clustering,paper_df6e38ce8e8d,paper_df6e38ce8e8d
167,1,hirsch; polytopes; exponentially; long; combinatorial; segments,paper_38ad468e658e,paper_38ad468e658e
168,1,spatial; branch; cut; nonconvex; qcqp; bounded,paper_34c8a8dfc317,paper_34c8a8dfc317
169,1,extended; formulation; convex; recoloring; problem; tree,paper_62bc1da72033,paper_62bc1da72033
170,1,variational; convexly; generated; spectral; max; functions,paper_87d465785272,paper_87d465785272
171,1,optimal; control; infinite; dimensional; bilinear; systems,paper_1b03b8afb76c,paper_1b03b8afb76c
172,1,geometric; random; edge,paper_7018988671d3,paper_7018988671d3
173,1,polynomial; root; radius; optimization; affine; constraints,paper_cbb3a4f61231,paper_cbb3a4f61231
174,1,integer; round; property; chromatic; number; some,paper_d9a85981b6a2,paper_d9a85981b6a2
175,1,quadratic; convex; hull; two; conic; inequality,paper_6f44e147fe10,paper_6f44e147fe10
176,1,convex; optimization; learning; faithful; euclidean; distance,paper_9924e2d2cd4d,paper_9924e2d2cd4d
177,1,douglas; rachford; algorithm,paper_26b0200f1c2d,paper_26b0200f1c2d
178,1,choquet; representability; submodular; functions,paper_de3937e3cb4d,paper_de3937e3cb4d
179,1,variational; crouzeix; ratio,paper_8378813a6c03,paper_8378813a6c03
180,1,tight; bounds; indefinite; separable; singly; constrained,paper_0dbdda0bd792,paper_0dbdda0bd792
181,1,tight; mip; formulations; bounded; down; times,paper_3192ffe4cb5a,paper_3192ffe4cb5a
182,1,polyhedral; aspects; score; equivalence; bayesian; network,paper_b52b22d355ab,paper_b52b22d355ab
183,1,optimality; conditions; convex; multiobjective; sip,paper_2a4069f20841,paper_2a4069f20841
184,1,variational; inequalities; polyhedral; sets,paper_e50add1ff538,paper_e50add1ff538
185,1,constraint; strong; duality; kkt; conditions; nonconvex,paper_196a24a64718,paper_196a24a64718
186,1,douglas; rachford; operators; that; fail; proximal,paper_f8598c6adf4c,paper_f8598c6adf4c
187,1,quadratic; complexity; programming; two; constraints,paper_7d8d9ded0e91,paper_7d8d9ded0e91
188,1,feasible; nonconvex; nonsmooth; problems; applications; green,paper_8d74b087215f,paper_8d74b087215f
189,1,random; approximations; multiobjective; optimization,paper_2d5c1f12df7c,paper_2d5c1f12df7c
190,1,sublevel; representations; epi; lipschitz; sets; other,paper_db270d6dca8e,paper_db270d6dca8e
191,1,equivariant; perturbation; gomory; johnson; infinite; group,paper_4cf443585e36,paper_4cf443585e36
192,1,linearly; convergent; away; step; conditional; gradient,paper_19c05b1b091d,paper_19c05b1b091d
193,1,cutting; plane; large; scale; capacitated; multi,paper_62a620e0865b,paper_62a620e0865b
194,1,truthful; mechanism; design; correlated; tree; rounding,paper_d49f5f8a1035,paper_d49f5f8a1035
195,1,stabilized; sqp; superlinear; convergence,paper_9078245d3330,paper_9078245d3330
196,1,robust; efficient; solving; point; distance; problems,paper_0d93cddc8e30,paper_0d93cddc8e30
197,1,core; nucleolus; directed; acyclic; graph; games,paper_d1642c4e9761,paper_d1642c4e9761
198,1,robust; screening; ambiguity,paper_79e184a6348b,paper_79e184a6348b
199,1,parametric; simplex; algorithm; linear; vector; optimization,paper_0f2a12d69461,paper_0f2a12d69461
200,1,stochastic; risk; multistep; mirror; descent; averse,paper_62d45d0705b2,paper_62d45d0705b2
